#separator:tab
#html:true
#notetype:Cloze
#deck:CompTIA A+
#columns:Text	Back Extra	tags
#tags column:3
Most consumer Bluetooth devices operate to a range of about {{c1::10 meters}}.	<b>Context:</b> Short-range cable replacement for headsets, speakers, keyboards, mice — contrast NFC's 4 cm and Wi-Fi's whole-building coverage.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::bluetooth source::notion::study-notes type::number context::cert::a-plus
Bluetooth operates in the unlicensed 2.4 GHz {{c1::ISM (Industrial, Scientific, and Medical)}} band.	<b>Context:</b> Unlicensed means no specialized license is required to transmit there — the same crowded band 2.4 GHz Wi-Fi uses.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::bluetooth source::notion::study-notes type::definition context::cert::a-plus
Bluetooth pairing is secured by using or verifying a {{c1::PIN}}; you pair once and later connections are automatic.	<b>Context:</b> Built-in security step during first-time discovery — after that the bond is remembered.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::networking::bluetooth source::notion::study-notes type::procedure context::cert::a-plus
A mobile hotspot extends the {{c1::cellular data}} network to nearby devices by acting as an 802.11 access point.	<b>Context:</b> Your phone becomes a personal wireless router; support and pricing depend on phone type and provider.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.2 · 2026-07-13</span>	topic::mobile::cellular source::notion::study-notes type::concept context::cert::a-plus
Mobile phone networks divide land into {{c1::cells}}, each covered by an antenna using certain frequencies.	<b>Context:</b> Crowded cells are why 4G speeds dropped in dense areas — too many devices competing for the same towers.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::cellular source::notion::study-notes type::definition context::cert::a-plus
To keep voice service while cutting mobile internet, disable {{c1::cellular data}} alone rather than airplane mode.	<b>Context:</b> Two separate toggles — airplane mode is full radio silence; the data toggle just cuts internet over cellular.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::cellular source::notion::study-notes type::gotcha context::cert::a-plus
4G LTE is based on the {{c1::GSM}} and EDGE standards.	<b>Context:</b> LTE (2010) is what made mobile internet competitive with home internet.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::cellular source::notion::study-notes type::definition context::cert::a-plus
The standard 4G LTE spec supports download rates up to {{c1::150 Mbit/s}} (real-world speeds are much lower).	<b>Context:</b> Crowded cells drop real speeds well below spec — the exam wants the spec figure.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::cellular source::notion::study-notes type::number context::cert::a-plus
LTE-Advanced (LTE-A) supports download rates of about {{c1::300 Mbit/s}}.	<b>Context:</b> A common exam pair with the standard-LTE figure — don't swap the two.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::cellular source::notion::study-notes type::number context::cert::a-plus
The 5G flavor with moderate speed gains but wide-area coverage is {{c1::sub-6 GHz}}.	<b>Context:</b> The workhorse of 5G rollout; contrast mmWave, which is blisteringly fast but barely leaves the block.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::cellular source::notion::study-notes type::comparison context::cert::a-plus
The 5G flavor with extreme speeds but very short range — unable to penetrate walls, trees, or heavy rain — is {{c1::mmWave}}.	<b>Context:</b> Extremely high frequencies carry more data but die fast with distance and obstacles; contrast wide-coverage sub-6 GHz.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::cellular source::notion::study-notes type::comparison context::cert::a-plus
5G (2020) supports download rates of 100–900 Mbit/s, up to about {{c1::10 Gbit/s}}.	<b>Context:</b> The bandwidth jump is why 5G matters for IoT: bigger transfers, faster notification, more cloud processing.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::cellular source::notion::study-notes type::number context::cert::a-plus
On a cellular network, your subscriber credentials live on the {{c1::SIM}} card.	<b>Context:</b> Subscriber Identity Module — holds the SIM ID, phone number, cellular network info, and some storage for contacts/messages.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::cellular source::notion::study-notes type::definition context::cert::a-plus
A traveler who wants a second carrier profile without a physical card uses an {{c1::eSIM}}.	<b>Context:</b> Built into newer phones, replacing the tiny physical card — and it supports multiple SIM profiles at once.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::cellular source::notion::study-notes type::definition context::cert::a-plus
GPS was created by the {{c1::U.S. Department of Defense}} and uses 30+ satellites in orbit.	<b>Context:</b> Military-origin system now underpinning all consumer navigation and location services.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::gps source::notion::study-notes type::definition context::cert::a-plus
A precise GPS fix (longitude, latitude, altitude) requires visibility of at least {{c1::4}} satellites.	<b>Context:</b> Three satellites give a 2D position; the fourth corrects the receiver's clock error and adds altitude.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::gps source::notion::study-notes type::number context::cert::a-plus
GPS calculates your position from {{c1::timing differences}} between satellite signals.	<b>Context:</b> Each satellite broadcasts a timestamp; the receiver triangulates from how long each signal took to arrive.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::gps source::notion::study-notes type::concept context::cert::a-plus
Mobile location services determine position using GPS plus two terrestrial sources: {{c1::Wi-Fi and cellular towers}}.	<b>Context:</b> The extra sources keep location working indoors where GPS satellites aren't visible.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;1.3 · 2026-07-13</span>	topic::mobile::gps source::notion::study-notes type::concept context::cert::a-plus
TCP and UDP segments are carried inside {{c1::IP}} packets, regardless of the underlying network (Ethernet, DSL, cable).	<b>Context:</b> The trucking analogy: IP is the truck, the topology is the road, TCP/UDP are the boxes holding application data.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.1 · 2026-07-13</span>	topic::networking::ip source::notion::study-notes type::concept context::cert::a-plus
Running many different applications over the network at the same time is called {{c1::multiplexing}}.	<b>Context:</b> Port numbers are what make this possible — each app's traffic is sorted into its own "box."<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.1 · 2026-07-13</span>	topic::networking::ip source::notion::study-notes type::definition context::cert::a-plus
{{c1::UDP}} is the connectionless, low-overhead transport protocol favored for real-time traffic like VoIP and video games.	<b>Context:</b> No acknowledgments means no waiting — a lost voice packet isn't worth retransmitting anyway. Contrast TCP's reliable delivery.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.1 · 2026-07-13</span>	topic::networking::transport source::notion::study-notes type::comparison context::cert::a-plus
{{c1::TFTP}} is the lightweight, connectionless file-transfer protocol that runs over UDP.	<b>Context:</b> Trivial File Transfer Protocol — connection overhead would be troublesome for its small, simple exchanges.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.1 · 2026-07-13</span>	topic::networking::transport source::notion::study-notes type::definition context::cert::a-plus
Being connectionless, DHCP runs over the transport protocol {{c1::UDP}}.	<b>Context:</b> Same reason as TFTP — the exchange is small and simple, so connection setup would be wasted overhead.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.1 · 2026-07-13</span>	topic::networking::transport source::notion::study-notes type::concept context::cert::a-plus
With UDP, noticing and recovering lost data is the job of {{c1::the application}}, not the transport protocol.	<b>Context:</b> UDP gives no delivery guarantee — the app can track what got through and decide what to do.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.1 · 2026-07-13</span>	topic::networking::transport source::notion::study-notes type::concept context::cert::a-plus
{{c1::TCP}} is the transport with a "return receipt" — delivery is acknowledged and data flow managed, used by apps like HTTPS and SSH.	<b>Context:</b> The app hands reliability off to the transport layer instead of tracking it itself; contrast UDP, where the app carries that burden.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.1 · 2026-07-13</span>	topic::networking::transport source::notion::study-notes type::comparison context::cert::a-plus
Ports {{c1::0–1,023}} are typically non-ephemeral (permanent) ports used by servers and services.	<b>Context:</b> Exam framing (Messer). Real-world IANA splits differently: 0–1023 well-known, 1024–49151 registered, 49152–65535 dynamic/ephemeral — know both exist.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.1 · 2026-07-13</span>	topic::networking::ports source::notion::study-notes type::number context::cert::a-plus
Ports 1,024–65,535 are typically {{c1::ephemeral}} ports, chosen in real time by the client.	<b>Context:</b> As the client, your OS picks a temporary source port and the server replies to it — but a server's reply traffic uses its well-known port as the source.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.1 · 2026-07-13</span>	topic::networking::ports source::notion::study-notes type::definition context::cert::a-plus
TCP and UDP port numbers are {{c1::separate}} numbering spaces.	<b>Context:</b> tcp/80 and udp/80 are not the same port — allowing one in a firewall rule says nothing about the other.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.1 · 2026-07-13</span>	topic::networking::ports source::notion::study-notes type::gotcha context::cert::a-plus
Wireless LAN standards are managed by the IEEE {{c1::802.11}} committee.	<b>Context:</b> IEEE = Institute of Electrical and Electronics Engineers; "802.11" is shorthand for Wi-Fi itself.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::wifi source::notion::study-notes type::definition context::cert::a-plus
802.11ac is marketed as Wi-Fi {{c1::5}}.	<b>Context:</b> The Wi-Fi Alliance's generation names for IEEE standards — future versions increment accordingly.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::wifi source::notion::study-notes type::number context::cert::a-plus
802.11ax is marketed as Wi-Fi {{c1::6}} (6E when extended into the new band).	<b>Context:</b> 6E is the same 802.11ax standard extended into the 6 GHz band.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::wifi source::notion::study-notes type::number context::cert::a-plus
802.11be is marketed as Wi-Fi {{c1::7}}.	<b>Context:</b> The newest mainstream generation; brings 320 MHz channels in 6 GHz.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::wifi source::notion::study-notes type::number context::cert::a-plus
The 6 GHz band is usable only by Wi-Fi generations {{c1::6E and 7}}.	<b>Context:</b> Far more spectrum room than 2.4 GHz — this is where Wi-Fi 7's widest channels live.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::wifi source::notion::study-notes type::number context::cert::a-plus
Wi-Fi frequencies are grouped into IEEE-numbered {{c1::channels}}.	<b>Context:</b> Easier to remember than exact values — "channel 6" instead of 2.437 GHz. Frequencies themselves are managed by governing entities.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::wifi source::notion::study-notes type::definition context::cert::a-plus
On the 2.4 GHz band, the only non-overlapping Wi-Fi channels are {{c1::1, 6, and 11}}.	<b>Context:</b> Channels sit 5 MHz apart but each transmission is 20 MHz wide, so neighbors bleed into each other — the root of apartment Wi-Fi interference.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::wifi source::notion::study-notes type::number context::cert::a-plus
In Wi-Fi, "bandwidth" means the amount of {{c1::frequency spectrum}} in use, not data throughput.	<b>Context:</b> Commonly 20, 40, 80, or 160 MHz — a wider slice moves more data per second, like adding highway lanes.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::wifi source::notion::study-notes type::definition context::cert::a-plus
Wi-Fi 7 (802.11be) adds {{c1::320 MHz}} channel bandwidth, available only in the 6 GHz band.	<b>Context:</b> Double Wi-Fi 6E's 160 MHz maximum — only the roomy 6 GHz band has the spectrum for it.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::wifi source::notion::study-notes type::number context::cert::a-plus
The Wi-Fi band with few available frequencies, prone to interference in confined areas with many networks, is {{c1::2.4 GHz}}.	<b>Context:</b> 5 GHz has many more frequencies available and supports wider bandwidth for higher throughput.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::wifi source::notion::study-notes type::comparison context::cert::a-plus
A battery-less RFID tag is powered by {{c1::the radio energy transmitted from the scanner}}.	<b>Context:</b> A tag is just a chip plus an antenna (grain-of-rice implants, sticker tags) — it can sit idle for years; battery-assisted tags allow longer scan distances.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::rfid source::notion::study-notes type::concept context::cert::a-plus
The tracking technology behind access badges, inventory tracking, and pet ID chips is {{c1::RFID}}.	<b>Context:</b> Radar-style technology: the scanner reads the tag's ID code and looks it up in a database. Interference warning: NFC builds on RFID but is two-way, used for payments/auth.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.2 · 2026-07-13</span>	topic::networking::rfid source::notion::study-notes type::definition context::cert::a-plus
The service a device queries to turn a name like www.example.com into an IP address is {{c1::DNS}}.	<b>Context:</b> Works in reverse too (IP to name). Usually run by the ISP or enterprise IT — a critical resource.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
DNS handles enormous query load by being a {{c1::distributed}} naming system.	<b>Context:</b> The load is balanced across many different servers rather than one central machine — why the system survives outages.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::concept context::cert::a-plus
The service that hands devices their IP settings automatically is {{c1::DHCP}}.	<b>Context:</b> Built into most home routers; enterprises run it redundantly on central servers.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
Two standard file-share protocols are {{c1::SMB (Server Message Block)}} on Windows and {{c2::AFP (Apple Filing Protocol)}} on Mac.	<b>Context:</b> The front-end (copy, delete, rename) hides which protocol is underneath. SMB also shows up in printing — same protocol, different service.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
Besides SMB, print servers use the standard protocols {{c1::IPP (Internet Printing Protocol)}} and {{c2::LPD (Line Printer Daemon)}}.	<b>Context:</b> A print server may be software on a PC or built into the printer with a network adapter — either way it serves the whole network.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
The logging standard a router or firewall uses to ship its events to a central collector is {{c1::syslog}}.	<b>Context:</b> One consolidated log across many device types; plan for lots of disk space.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
A central syslog receiver is usually integrated into a {{c1::SIEM (Security Information and Event Manager)}}.	<b>Context:</b> The SIEM is the analysis layer on top of raw log collection — a major topic again in Security+.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
AAA on an authentication server stands for authentication, {{c1::authorization}}, and {{c2::accounting}}.	<b>Context:</b> Centralized login management to resources; almost always an enterprise service on redundant servers — not something a home network needs. Don't confuse accounting with "auditing."<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
A database type that links tables together, making queries flexible and fast, is {{c1::relational}}.	<b>Context:</b> Tables store rows/columns like a spreadsheet; the links between tables are the relationships.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
Relational databases are accessed using the standard language {{c1::SQL (Structured Query Language)}}.	<b>Context:</b> Same language across vendors — Microsoft SQL Server, MySQL, and others.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
{{c1::NTP (Network Time Protocol)}} keeps device clocks synchronized across the network.	<b>Context:</b> Encryption, logins, backups, and log timestamps all break when clocks drift; clients typically sync from a server daily.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
Unsolicited email is blocked before reaching the mail server by a spam {{c1::gateway}} (on-site or cloud-based).	<b>Context:</b> Sits in front of the mail server so junk never lands in inboxes — "spam filter" is the looser everyday term.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
An all-in-one security appliance is also called a {{c1::UTM (Unified Threat Management)}} device or web security gateway.	<b>Context:</b> One box bundling firewall, IDS/IPS, URL/content filtering, spam filter, VPN endpoint, bandwidth shaping. Tradeoff: one device to manage vs. single point of failure doing each job worse than dedicated gear.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
A {{c1::load balancer}} distributes work across multiple servers while staying invisible to the end user.	<b>Context:</b> Used in web and database server farms; provides fault tolerance — an individual server outage has no effect, with very fast convergence.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
A {{c1::proxy server}} is a middle-man: the client sends its request to it, it performs the actual request, and it returns the results.	<b>Context:</b> Enables access control, caching, URL filtering, and content scanning along the way.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
{{c1::SCADA (Supervisory Control and Data Acquisition)}} systems manage large-scale, multi-site industrial control systems (ICS).	<b>Context:</b> Power generation, refining, manufacturing — a PC manages the equipment remotely with real-time information.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
SCADA/ICS networks require extensive {{c1::segmentation}} — no access from the outside.	<b>Context:</b> Access is physical or through a tightly controlled system; a compromised power plant is worse than a compromised web server.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::gotcha context::cert::a-plus
A purpose-built device (alarm system, door security, time clock) where you don't get direct OS access is an {{c1::embedded system}}.	<b>Context:</b> Usually low-maintenance, with the manufacturer supplying the support tools. Contrast legacy systems, which are just old but often business-critical.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::definition context::cert::a-plus
IoT devices get their own network segment because their manufacturers deprioritize {{c1::network security}}.	<b>Context:</b> Smart fridges, doorbells, thermostats — companies good at appliances, not at patching. Same isolation principle as SCADA, softer stakes.<br><span style="font-size:12px;color:#888">Notion &rarr; Chud Camp 2026 &rarr; Study Notes &sect;2.3 · 2026-07-13</span>	topic::networking::services source::notion::study-notes type::gotcha context::cert::a-plus
